provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
openmeteo,precipitation,96,96,100.0,0.0,0.22068262205769618,0.22098404460897048,1.1491854421864671,-0.020090168250318962,10.416666666666668,1.0416666666666665
openmeteo,temperature_2m,96,96,100.0,0.0,0.6221043904622399,1.467246882120768,1.8770045313060315,0.8902148773611943,79.16666666666666,20.833333333333336
openmeteo,wind_direction_100m,96,96,100.0,0.0,0.086306333541871,18.503236532211304,24.736022245769053,0.8911057439815998,46.875,53.125
openmeteo,wind_speed_100m,96,96,100.0,0.0,11.103536234796048,11.168729162712893,12.173227128563537,0.40924650142699975,98.95833333333334,1.0416666666666665
visualcrossing,precipitation,94,94,100.0,0.0,0.001909911888710997,0.002217747685757088,0.020065141573262443,-0.010752688172043041,1.0638297872340425,1.0638297872340425
visualcrossing,temperature_2m,94,94,100.0,0.0,0.18041290932513332,0.7656405834441488,0.9980859635209759,0.9701674377049274,52.12765957446809,47.87234042553192
visualcrossing,wind_direction_100m,94,94,100.0,0.0,-8.979701671194523,27.926638095936877,41.10271134859893,0.7744588999408096,27.659574468085108,72.3404255319149
visualcrossing,wind_speed_100m,94,94,100.0,0.0,-0.7241011527070912,1.4399986298316556,1.8072433044713059,0.29441642060528317,37.234042553191486,62.76595744680851
weatherapi,precipitation,96,96,100.0,0.0,0.06026595539102952,0.060567377942303824,0.22546732327909366,-0.028536548724297988,22.916666666666664,1.0416666666666665
weatherapi,temperature_2m,96,96,100.0,0.0,0.40022939046224,1.2415412902832033,1.5110461783766254,0.9220883165739598,62.5,37.5
weatherapi,wind_direction_100m,96,96,100.0,0.0,1.3258896668752043,16.520763158798218,22.067404262753744,0.9038846535474734,43.75,56.25
weatherapi,wind_speed_100m,96,96,100.0,0.0,0.0916409044268988,1.5286359658372113,1.9005209834669792,0.010113490890445657,46.875,53.125
